	Tiếng Việt	Українська	日本語	한국어	UI language name	
2087	<global.nameme>'s IPO made waves. Not a storm, but ripples are there. Investors, take note.	IPO <global.nameme> здійняло хвилю. Не буря, але брижі є. Інвестори, зверніть увагу.	<global.nameme>の新規公開株が市場に波風を立てています。嵐ほどではありませんが、波紋が広がっています。投資家の皆さんは目が離せないでしょう。	<global.nameme> 공모주가 상장되면서 잔잔한 파문을 일으킵니다. 폭풍 같지는 않지만 일단 투자자들의 관심은 충분히 끌고 있습니다.	UI (News)	
2088	A bold entry by <global.nameme>. The market stirs, stocks climb. Anticipation builds.	Сміливий вихід <global.nameme> на ринок. Ринок збуджується, акції ростуть. Наростає очікування.	<global.nameme>が大胆に参入です。市場は動揺し、株価は上昇。期待感が高まっています。	<global.nameme> 공모주가 위풍당당하게 상장되었습니다. 시장이 요동치고 주가는 급등합니다. 기대가 커지기 시작합니다.	UI (News)	
2089	<global.nameme> storms the market with its IPO! Every eye watches, every ear listens. A financial spectacle!	<global.nameme> штурмує ринок своїм IPO! Усі очі дивляться, усі вуха слухають. Фінансовий спектакль!	<global.nameme>が新規公開株で市場に嵐を巻き起こています！同社の株に市場は注目、耳目が集まっています。まさに金融界の一大スペクタクルです！	<global.nameme> 공모주가 폭풍처럼 시장에 입성합니다! 모두가 눈길을 떼지 못하고 귀를 기울이고 있습니다. 금융계의 총아가 출현했습니다!	UI (News)	
2090	Headquarters	Головний офіс	本社	본사	UI: Name of the department	
2091	Operations	Операційна діяльність	業務部	경영부	UI: Name of the department	
2092	Sales & Marketing 	Продажі та маркетинг	営業＆マーケティング部	영업 & 마케팅부	UI: Name of the department	
2093	Research & Development	Дослідження та розвиток	研究開発部	연구개발부	UI: Name of the department	
2094	Human Resources	Управління персоналом	人事部	인사부	UI: Name of the department	
2095	Finance	Фінанси	財務部	재무부	UI: Name of the department	
2096	IT & Systems	ІТ та системи	IT＆システム部	IT 시스템부	UI: Name of the department	
2097	Headquarters is the decision-making hub, where executive leadership formulates strategic plans, makes pivotal decisions, and oversees the holistic performance of the company.	Головний офіс є центром ухвалення рішень, де виконавче керівництво формулює стратегічні плани, вирішує ключові питання та контролює цілісну діяльність компанії.	本社は意思決定の中枢であり、経営陣が戦略プランを策定し、重要な決定を下し、会社の全体的な業績を監督します。	본사는 경영진이 전략 계획을 수립하고, 중요한 의사 결정을 내리며, 회사의 전체적인 성과를 감독하는 리더십의 중심지입니다.	UI: some hint	
2098	The Operations department ensures the seamless running of daily activities, optimizing processes for efficiency, quality, and cost-effectiveness to meet customer demands.	Операційний відділ забезпечує безперебійне ведення повсякденної діяльності, оптимізуючи процеси для підвищення ефективності, якості та рентабельності, щоб задовольнити потреби клієнтів.	業務部は、日常業務のシームレスな運営を図るとともに、効率性、品質、費用対効果の向上のためにプロセスを最適化し、顧客の要求に応えます。	경영부는 일상적인 업무의 원활한 운영을 보장하고, 고객의 요구를 충족시키고자 효율성, 품질, 비용 효율성 프로세스를 최적화 합니다.	UI: some hint	
2099	Sales & Marketing is tasked with brand promotion and revenue generation, creating awareness and driving customer engagement through innovative strategies.	Відділ продажів та маркетингу займається просуванням бренду та генеруванням доходів, підвищенням обізнаності та залученням клієнтів за допомогою інноваційних стратегій.	営業＆マーケティング部は、ブランドプロモーションと収益創出を担当し、革新的な戦略を通じて認知度を高め、顧客エンゲージメントを促進します。	영업 & 마케팅부는 브랜드 홍보 및 수익 창출, 인지도 고취, 혁신적인 전략을 통한 고객 참여 촉진 등의 업무를 담당합니다.	UI: some hint	
2100	Research & Development focuses on innovation, developing new products and enhancing existing ones to keep the company competitive and cutting-edge.	Відділ досліджень та розробок зосереджується на інноваціях, розробці нових продуктів та вдосконаленні існуючих, щоб компанія залишалася конкурентоспроможною та передовою.	研究開発部は技術革新に注力し、新製品の開発や既存製品の改良を行い、会社の競争力と先進性を維持します。	연구개발부는 혁신에 중점을 두어 신제품을 개발하거나 기존 제품을 개선하는 등 회사의 경쟁력을 최첨단으로 유지합니다.	UI: some hint	
2101	Human Resources (HR) is centered on employee management, from recruitment and training to welfare, ensuring a motivated and well-supported workforce.	Відділ кадрів (HR) займається управлінням персоналом, від підбору та навчання до соціального забезпечення, забезпечуючи вмотивовану та добре забезпечену робочу силу.	人事部は、採用から研修、福利厚生に至るまで、従業員の管理を中心としており、意欲的な労働力を確保し、従業員への充実したサポートを維持します。	인사부는 직원 채용, 교육, 복지 등 인사 관리를 중심으로 직원들에게 동기를 부여하고 충분한 지원을 제공합니다.	UI: some hint	
2102	The Finance department manages the company's financial resources, budgeting, and investments, ensuring fiscal health and sustainability	Фінансовий відділ управляє фінансовими ресурсами компанії, бюджетуванням та інвестиціями, забезпечуючи фінансове здоров'я та стійкість.	財務部は、会社の財源、予算、投資を管理し、財務の健全性と持続可能性を確保します。	재무부는 기업의 재정적 자원, 예산, 투자를 관리하며 재정 건전성과 지속 가능성을 확보합니다.	UI: some hint	
2103	IT & Systems provides access to the latest technologies, ensuring optimal performance, security, and support for all organizational activities.	ІТ та системи забезпечують доступ до новітніх технологій, гарантуючи оптимальну продуктивність, безпеку та підтримку всіх видів діяльності організації.	IT＆システム部は、最新テクノロジーへのアクセスを提供し、組織のすべての活動に対して最適なパフォーマンス、セキュリティ、サポートを保証します。	IT 시스템부는 최신 기술을 활용하여 모든 조직 활동에 최적의 성능, 보안 및 지원을 보장합니다.	UI: some hint	
2104	Efficiency	Ефективність	効率性	효율	UI: Efficiency of the department	
2105	Good day! If your esteemed <kuda_name> is looking for a guy with boundless enthusiasm and an impressive collection of vintage manga, look no further!	Доброго дня! Якщо ваша шановна <kuda_name> шукає хлопця з безмежним ентузіазмом і вражаючою колекцією вінтажних коміксів, то вам сюди!	はじめまして！もし<kuda_name>が、無限の情熱とヴィンテージコミックの堂々たるコレクションを持つ男をお探しなら、僕がその男です！	안녕하세요! 혹시 <kuda_name>사가 무한한 열정과 위풍당당한 만화 컬렉션을 가진 인재를 찾고 계시다면 제가 바로 그 사람입니다!	Man	
2106	Hello, I'm packing a PhD-level intellect, and while my social skills are... let's say, 'a work in progress', my genius moments make up for it!	"Привіт, я володію інтелектом на рівні доктора філософії, і хоча мої соціальні навички... скажімо так, ""на стадії розробки"", мої блискучі рішення компенсують це!"	こんにちは、私は頭には博士レベルの知性が詰め込まれていますが、社会的スキルは…言ってみれば「未完成」です。でも、私の天賦の才能がそれを補ってくれるのでご安心ください！	안녕하십니까, 저는 박사 학위를 따낸 지성을 갖추고 있지만 사회성은 '성장의 여지가 있다'고 해 두겠습니다. 그래도 제 번뜩이는 영감은 확실한 장점이 되어 줄 겁니다!	Man	
2107	Hey <kuda_name> team! If you're on the hunt for charisma with a dash of 'creative' accounting, you've just hit the jackpot.	"Привіт, командо <kuda_name>! Якщо ви шукаєте людину з харизмою та ""креативним"" підходом до роботи, то ви щойно зірвали джекпот."	やあ、<kuda_name>のチームの皆さん！もし皆さんが 「創造的」 な会計処理でカリスマ的人材をお求めなら、今日はまさに大当たりの日ですよ。	안녕하십니까, <kuda_name> 여러분! '창의적인' 회계 처리와 함께 카리스마 있는 인재를 찾고 계시다면 지금 대박을 터뜨리신 겁니다.	Man	
2108	Esteemed colleagues, my brain and charm are both dialed up to 11 from 10. Excited to possibly call <kuda_name> my new professional home!	Шановні колеги, мій розум і харизма набрали 11 з 10. З нетерпінням чекаю можливості назвати <kuda_name> своїм новим професійним домом!	尊敬する同僚の皆さん、私の頭脳と魅力はともに10点から11点に跳ね上がっています。<kuda_name>を私のプロフェッショナルとしての新たな我が家と呼べるようになることの期待で今、私は興奮しています！	친애하는 동료 여러분, 저의 두뇌와 매력은 모두 10점 만점에 11점으로 평가를 받았습니다. 지금 저는 <kuda_name> 사를 제 새로운 경력의 고향이라 부를 수 있다는 사실에 큰 기대를 품고 있습니다!	Man	
2109	Hello! Picture a team player who's as quiet as a library but efficient as a beaver in a log cabin competition. That's me, excited to join <kuda_name>!	Привіт! Уявіть собі командного гравця, яка тиха, як бібліотека, але ефективна, як бобер на змаганнях зі зрубу. Це я, рада долучитися до <kuda_name>!	こんにちは！図書館のように静かで、丸太小屋作りの競争で活躍するビーバーのように効率的なチームの一員を想像してみてください。それが私です。<kuda_name>でご一緒できる期待感でワクワクしています！	안녕하세요! 도서관처럼 조용하지만 댐 짓는 비버처럼 부지런한 팀의 일원을 한번 상상해 보십시오. 그것이 바로 <kuda_name>에 새로 입사할 기대에 부푼 저입니다!	Woman	
2110	Greetings <kuda_name>, in the world of binary, I'm the '1' to a lot of '0's. Ready to code, compute, and occasionally, make coffee.	"Вітаю, <kuda_name>, у світі двійкових чисел я ""1"" серед безлічі ""0"". Готова кодувати, обчислювати та іноді варити каву."	<kuda_name>の皆さん、はじめまして。バイナリの世界では、私はたくさんの「0」の中の「1」です。コードを打ったり、計算したり、時にはコーヒーを淹れたりしますよ。	안녕하십니까, <kuda_name> 여러분. 이진법의 세계에서 저는 수많은 '0'들 중에 두각을 드러내는 '1'입니다. 지금 당장 코딩, 연산, 그리고 커피를 끓일 준비가 되어 있습니다.	Woman	
2111	Hey there! If <kuda_name> is ready for a burst of creativity and a sprinkle of diva flair, the universe has answered your prayers!	Привіт! Якщо <kuda_name> готова до сплеску креативності та трохи дівочого шарму, то всесвіт відповів на ваші прохання!	こんにちは！もし<kuda_name>が創造性を爆発させ、歌姫の才能を振りまく女性を探しているのなら、宇宙は今その祈りに応えてくれたのです！	안녕하세요! <kuda_name> 사에서 디바의 폭발적인 창의력과 재능을 발휘할 수 있는 여성을 찾고 있다면 지금 우주가 그 기도에 응답한 거랍니다!	Woman	
2112	With charm that rivals Momoe Yamaguchi and a spirit as vibrant as Tokyo nightlife, I'm the breath of fresh air <kuda_name> needs!	З чарівністю, яка конкурує з Момое Ямагучі, і духом, таким же яскравим, як нічне життя Токіо, я - ковток свіжого повітря, якого потребує <kuda_name>!	山口百恵に匹敵する魅力と、東京のナイトライフのような活気に満ちた精神を備えた私は、<kuda_name>が必要としている新鮮な空気の息吹です！	야마구치 모모에에 버금가는 매력과 도쿄의 밤문화처럼 활기찬 정신까지, 저는 <kuda_name>에 필요한 신선한 활기의 숨결입니다!	Woman	
2113	I'm reaching out to express my keen interest in a role at <kuda_name>. My passion, though not always reflected in conventional ways, is rooted in a profound commitment to my professional journey.	Я звертаюся до вас, щоб висловити свою велику зацікавленість у роботі в <kuda_name>. Моя пристрасть, хоч і не завжди відображається у традиційних формах, ґрунтується на глибокій відданості своїй професійній діяльності.	<kuda_name>での職務に強い関心を寄せています。私の情熱は、常に型にはまった形で反映されるわけではありませんが、私のプロとしての歩みの深いコミットメントに根ざしたものです。	저는 <kuda_name>에서의 업무에 큰 관심을 갖고 있습니다. 제 열정은 항상 틀에 박힌 형태로 반영되지는 않으나, 언제나 제 직업적 경력을 향한 깊은 헌신에 뿌리를 두고 있답니다.	Man	
2114	Dear Team at <kuda_name>, my expertise in data analysis and problem-solving aligns with your company's needs, and I am eager to bring my contribution to your esteemed organization.	Шановна команда <kuda_name>, мій досвід в аналізі даних та вирішенні складних задач відповідає потребам вашої компанії, і я прагну зробити свій внесок у вашу авторитетну організацію.	<kuda_name>のチームの皆様、データ分析と問題解決における私の専門知識は貴社のニーズに合致しており、ぜひとも貴社に貢献したいと考えています。	<kuda_name>의 팀원 여러분, 제 데이터 분석 능력 및 문제 해결 능력은 귀사의 수요와 정확히 합치하며, 저 역시 귀사의 조직에 기꺼이 제 능력을 기여하고 싶습니다.	Man	
2115	Hey there! I'm thrilled at the prospect of joining <kuda_name>. My vibrant energy, coupled with a hands-on approach, is all geared up to add spice to the team dynamics.	Привіт! Я в захваті від перспективи приєднатися до <kuda_name>. Моя енергійність у поєднанні з практичним підходом - все для того, щоб додати динаміки команді.	どうも！<kuda_name>に加わるという期待に胸躍らせています。私の活気に満ちたエネルギーと実践的なアプローチは、チームの活力にスパイスを加えるために、すでに準備万端です。	안녕하세요! <kuda_name>에 합류할 생각을 하니 기대감이 굉장해집니다. 제 활기찬 에너지는 실용적인 접근법과 결합하여 이미 팀에 활력을 더해 드릴 준비가 되어 있습니다.	Man	
2116	I am applying to bring my experience and insightful strategic planning skills to <kuda_name>, convinced that my contributions will drive both innovation and growth.	Я подаю заявку, щоб принести свій досвід і глибокі навички стратегічного планування в <kuda_name>, переконаний, що мій внесок буде сприяти інноваціям і зростанню.	私は、私の貢献がイノベーションと成長を促進すると確信しており、自分の経験と洞察力に富んだ戦略的計画スキルを <kuda_name>で発揮するために応募しています。	저는 제 능력과 기여가 <kuda_name>의 혁신과 성장을 촉진할 수 있을 거라 확신하며, 지금까지의 경험과 통찰력 있는 전략 기획 능력을 발휘하고자 귀사에 지원하게 되었습니다.	Man	
2117	I am interested in applying to <kuda_name>, confident that my diligent yet reserved nature can be a positive attribute to the team's dynamic.	Я зацікавлена в роботі у <kuda_name>, оскільки впевнена, що моя старанна, але стримана натура може стати позитивною рисою для динаміки команди.	<kuda_name>に応募したいとおもいます。私は自分の勤勉でありながら控えめな性格がチームの活力にプラスになると確信しています。	저는 제 성실하고도 겸손한 성격이 팀에 활력을 불어넣는 데 도움이 될 거라 확신하고 <kuda_name>에 지원하고자 합니다.	Woman	
2118	To the Esteemed Team at <kuda_name>, my technical and analytical acumen is at your disposal, ready to drive innovation and efficiency within your operations.	Шановна команда <kuda_name>, мої технічні та аналітичні здібності у вашому розпорядженні, я готова сприяти інноваціям та підвищенню ефективності вашої діяльності.	<kuda_name>のチームの皆様、私の技術的、分析的な洞察力を存分にお役立てください。 イノベーションと効率化を推進するために、尽力させていただきます。	<kuda_name>의 유망한 팀원 여러분은 제 기술적, 분석적 통찰력을 최대한 활용하실 수 있습니다. 저 역시 혁신과 효율을 촉진하고자 최선을 다하겠습니다.	Woman	
2119	Good day, the prospect of joining the vibrant team at <kuda_name> excites me. My lively personality and creative approach are ready to make a memorable mark.	Доброго дня, перспектива приєднатися до динамічної команди <kuda_name> мене дуже захоплює. Моя яскрава постать і творчий підхід готові залишити по собі незабутній слід.	こんにちは、<kuda_name>の活気あるチームに加わるという期待に胸躍らせています。私の活発な性格と創造的なアプローチで、記録的な業績を生み出せるものと確信しています。	안녕하세요, <kuda_name>의 탄탄한 팀에 합류하게 되어 기대감이 부풀어 오르네요. 제 활기찬 성격과 창의적 접근법은 분명 기록적 성과를 창출할 수 있으리라 확신합니다.	Woman	
2120	I am eager to contribute to <kuda_name> with my refined skill set, a blend of analytical prowess, and leadership, honed through a record of academic and extracurricular excellence.	Я прагну зробити свій внесок у розвиток <kuda_name> завдяки моїм витонченим навичкам, поєднанню аналітичних здібностей та лідерських якостей, відточеним завдяки успіхам у навчанні та позакласній роботі.	私は、学業や課外活動で優秀な成績を積み重ねることで培ってきた分析力とリーダーシップを兼ね備えた洗練されたスキルで、<kuda_name>に貢献したいと考えています。	저는 지금껏 학업과 과외활동에서 우수한 성적을 쌓으며 연마해 온 분석력과 리더십 등 각종 역량을 통해 <kuda_name>에 기여를 하고자 합니다.	Woman	
2121	I'm eager to express my interest in joining <kuda_name>. While I'm dedicated and passionate about my work, I'm always open to learning and growing professionally.	Я хочу висловити свою зацікавленість у приєднанні до <kuda_name>. Хоча я відданий своїй роботі та захоплений нею, я завжди відкритий до навчання та професійного зростання.	私は、<kuda_name>で働かせていただくことを志望しています。私は仕事に対して献身的で情熱的であるとともに、常に学び、プロとして成長することに意欲をもっています。	저는 <kuda_name>에서 꼭 일하고 싶습니다. 저는 업무에 대한 헌신과 열정을 품고 있으며, 전문성 면에서 항상 학습하며 성장하고자 하는 의욕을 가지고 있습니다.	Man	
2122	I am writing to apply for a position at <kuda_name>. With my strong analytical skills and attention to detail, I am confident in my ability to contribute effectively to your team.	Я звертаюся до вас, щоб претендувати на посаду в <kuda_name>. З моїми сильними аналітичними навичками та увагою до деталей, я впевнений, що зможу ефективно працювати у вашій команді.	<kuda_name>での職務にぜひ応募させていただきたいと存じます。高い分析能力と細部へのこだわりによって、チームに効果的に貢献できると確信しています。	저는 <kuda_name>의 직무에 꼭 지원하고자 합니다. 강력한 분석 능력과 디테일을 놓치지 않는 치밀함을 통해 팀에 효과적 기여를 할 수 있으리라 확신합니다.	Man	
2123	I'm excited about the opportunity to be part of <kuda_name>. I bring enthusiasm and a strong work ethic, with experience in a team-oriented environment.	Я в захваті від можливості стати частиною <kuda_name>. Я приношу з собою ентузіазм і сильну трудову дисципліну, маю досвід роботи в командному колективі.	<kuda_name>の一員となれるこの機会に興奮を覚えています。私は、チーム指向の環境で経験を積み、熱意と強い労働倫理を持っています。	<kuda_name>의 일원이 될 수 있는 기회를 얻게 되어 대단히 기쁩니다. 저는 지금까지 팀 지향적 환경에서 경험을 쌓아 왔으며, 강렬한 열정과 직업윤리를 갖추고 있습니다.	Man	
2124	I'm interested in exploring opportunities at <kuda_name>. My experience, coupled with my advanced analytical and leadership skills, positions me as a valuable contributor to your esteemed company.	Я зацікавлений у пошуку нових можливостей в <kuda_name>. Мій досвід у поєднанні з розвиненими аналітичними та лідерськими навичками позиціонує мене як цінного співробітника вашої шанованої компанії.	私は、<kuda_name>で成長の機会を探求することに強い関心を寄せています。これまでの経験と高度な分析能力やリーダーシップのスキルで、貴社に大きく貢献できるものと考えております。	저는 <kuda_name>에서 성장 기회를 모색하는데 많은 관심을 품고 있습니다. 지금까지의 경력과 높은 수준의 분석 능력, 그리고 리더십을 바탕으로 귀사에서 가치 있는 기여자가 될 수 있으리라 확신합니다.	Man	
2125	I'm writing to express my interest in the available position at <kuda_name>. I'm a diligent worker and though I might be on the quieter side, I'm fully committed to contributing to the team's success.	Я пишу, щоб висловити свою зацікавленість у вільній вакансії в <kuda_name>. Я старанна працівниця, і хоча я можу бути непомітною, я повністю віддана своїй справі, щоб зробити внесок в успіх команди.	<kuda_name>の求人に関心を持ちご連絡しております。私は勤勉で、物静かな方かもしれませんが、チームの成功に貢献できるよう全力を尽くすことをお約束します。	<kuda_name> 채용 공고를 보고 연락 드렸습니다. 저는 부지런하고 조용한 인재이며, 팀의 성공에 최선을 다해 기여하리라 약속드립니다.	Woman	
2126	I am applying for the open position, confident that my analytical skills and technical expertise can contribute to achieving our mutual objectives.	Я подаю заявку на відкриту вакансію, будучи впевненим, що мої аналітичні навички та технічний досвід можуть сприяти досягненню наших спільних цілей.	私は、自分の分析スキルと技術的な専門知識が、相互の目標達成に貢献できると確信し、この求人に応募しております。	저는 제 분석 능력과 기술적 전문성이 귀사와의 상호 목표 달성에 기여할 수 있으리라 확신하여 이 자리에 지원하게 되었습니다.	Woman	
2127	I've recently come across an exciting opportunity at <kuda_name>. I bring a dynamic energy and a touch of creativity that can surely contribute to the vibrant work environment.	Нещодавно я натрапила на захоплюючу вакансію в <kuda_name>. Я привношу динамічну енергію і творчий підхід, які, безсумнівно, можуть внести свій вклад в динамічне робоче середовище.	このほど、<kuda_name>での興味深い募集を知りました。私はダイナミックなエネルギーと創造性を持ち、活気ある職場環境に貢献できると確信しています。	최근 <kuda_name>의 채용 공고를 보고 흥미를 갖게 되었습니다. 저는 역동적인 에너지와 창의성을 갖추고 있기에 활기찬 업무환경 형성에 기여할 수 있으리라 확신합니다.	Woman	
2128	I am expressing my keen interest in joining <kuda_name>. My academic achievements and leadership experiences have equipped me with significant skills in problem-solving and strategic planning.	Я висловлюю свою велику зацікавленість у приєднанні до <kuda_name>. Мої академічні досягнення та досвід керівництва забезпечили мене значними навичками у вирішенні проблем та стратегічному плануванні.	私は、<kuda_name>の求人に強い関心を抱いています。私の学業成績とリーダーシップの経験は、問題解決と戦略的プランニングにおける重要なスキルを身につけさせてくれました。	<kuda_name>의 직무 채용에 큰 관심을 갖고 연락드리게 되었습니다. 저는 탁월한 학업 성적과 리더십 경험을 통해 문제 해결과 전략적 계획 수립에 중요한 기술을 습득한 인재입니다.	Woman	
2129	Um, hello... I've noticed a job opening at <kuda_name>. I'm not the most experienced, but I'm eager and I have a collection of rare stamps. Can I apply?	Гм, добрий день... Я помітив вакансію в <kuda_name>. Я не найдосвідченіший, але дуже стараюсь і маю колекцію рідкісних марок. Чи можу я спробувати?	あの、どうも… <kuda_name>での求人を知りました。経験は浅いのですが、熱意はありますし、なんなら珍しい切手のコレクションだって持っています。応募してもよろしいですか？	어, 안녕하세요... <kuda_name> 채용 공고 보고 연락드렸는데요. 제가 최고의 경력자는 아니지만 진짜 희귀한 우표도 모으고 있거든요. 지원해도 될까요?	Man	
2130	I've learned about a vacancy at <kuda_name>. My technical skills are extensive, though social interactions aren't my forte. I can contribute intellectually.	Я дізнався про вакансію в <kuda_name>. Мої технічні навички досить широкі, хоча соціальна взаємодія не є моєю сильною стороною. Я можу зробити інтелектуальний внесок.	<kuda_name>の求人募集を知りました。私は、技術的なスキルは豊富ですが、社交的な交流は得意ではありません。でも、知的貢献ならできると思います。	<kuda_name>에 TO가 났다는 정보를 입수했습니다. 저는 특출난 기술적 역량을 갖췄지만 사교적 교류 능력까지 갖추지는 못했습니다. 그러나 지적인 기여는 충분할 거라 생각합니다.	Man	
2131	Hey there! Heard <kuda_name> is the place to be! I'm not a bookworm, but I'm the life of any party and know every baseball stat by heart. Can I join?	Привіт! Чув, що <kuda_name> - це те місце, де варто працювати! Я не книголюб, але я душа будь-якої вечірки і знаю кожну бейсбольну статистику напам'ять. Чи можу я приєднатися?	やあ、どうも！<kuda_name>がおすすめだって聞いたんで！僕は本の虫じゃないけど、どんなパーティーでも盛り上げるし、プロ野球のデータならすべて暗記しています。応募できるかな？	안녕하세요! <kuda_name>에서 구인 중이라는 공고를 보게 되었습니다. 저는 책벌레까지는 아니지만 어떤 파티에서든 분위기를 띄울 수 있으며 프로야구 관련 데이터는 달달 외우고 있습니다. 받아 주시겠습니까?	Man	
2132	I'm intrigued by the prospects at <kuda_name>. My credentials are top-tier, and my achievements speak for themselves. I believe a collaboration could be mutually beneficial.	Мене заінтригували перспективи в <kuda_name>. Я маю першокласний досвід, а мої досягнення говорять самі за себе. Вважаю, що наша співпраця може бути взаємовигідною.	<kuda_name>の将来性に関心を寄せています。私の資格は一流で、実績がそれを物語っています。このコラボレーションはお互いに有益なものになると信じています。	저는 <kuda_name>의 앞날에 큰 관심을 갖고 있습니다. 제 역량은 최고 수준이며 이 점은 경력만 살펴 보더라도 증명이 될 것입니다. 따라서 귀사와의 협업은 상호 간에 도움이 되리라 믿습니다.	Man	
2133	Hi, I saw the job post for <kuda_name>. I'm quite shy and not a genius, but I work hard. Could I fit in?	Вітаю, я побачила вакансію в <kuda_name>. Я досить сором'язлива і не геніальна, але я багато працюю. Чи підійду я вам?	<kuda_name>の求人広告を見ました。私はかなり内気で、天才でもありませんが、一生懸命働きます。私に合うでしょうか？	안녕하세요, <kuda_name> 구인 공고를 보고 연락 드립니다. 저는 살짝 수줍은 성격에 평범한 지성을 갖췄지만 굉장히 성실하답니다. 어울리는 인재일까요?	Woman	
2134	Greetings. I am proficient in my technical field, though not so much in social settings. I believe my skill set aligns with <kuda_name>'s goals.	Привіт, <kuda_name>. Я добре розбираюся у своїй технічній сфері, але не дуже розуміюся на спілкуванні з людьми. Я вважаю, що мій набір навичок відповідає цілям <kuda_name>.	はじめまして。私は技術的な分野には精通していますが、社交的な場はあまり得意ではありません。私のスキルセットは<kuda_name>の目標に合致していると思います。	안녕하세요. 저는 기술적 능력은 상당하지만 사교적 분야는 살짝 미달한 사람입니다. 하지만 제 역량은 분명 <kuda_name>의 목표에 부합한다 생각합니다.	Woman	
2135	Ara-ara, I've heard <kuda_name> is recruiting. With my grace and charm, I could bring an air of elegance to the team. Shall we proceed?	Ара-ара, я чула, що <kuda_name> набирає персонал. З моєю грацією і чарівністю, я могла б внести нотку елегантності в команду. Ну що, почнемо?	よろしいかしら、<kuda_name>が求人募集していると聞きましたの。私の優雅さと魅力で、チームにエレガントな雰囲気をもたらしてさしあげますわ。お話を進めます？	어머나, <kuda_name>에서 구인 중이시라면서요. 제 품위와 매력으로 팀에 우아한 분위기를 더해줄 수 있을 거라 생각하는데요. 계속 논의해 보실까요?	Woman	
2136	I am considering a position at <kuda_name>. My academic and social achievements have positioned me as a leader in my field. I am open to discussions on how I can contribute.	Я шукаю роботу в <kuda_name>. Мої академічні та соціальні досягнення позиціонують мене як лідера у своїй галузі. Я відкрита до обговорення того, як я можу зробити свій внесок.	<kuda_name>への応募を検討しています。私の学業と社会的実績により、私はこの分野でのリーダーとしての地位を確立しています。私がどのように貢献できるか、お話しできれば幸いです。	<kuda_name> 직무에 지원하고자 합니다. 저는 학문적, 사회적 성과를 통해 이 분야의 리더로서 탁월한 입지를 다지고 있습니다. 제가 귀사에 어떤 기여를 할 수 있는지 말씀 드릴 기회를 갖고 싶습니다.	Woman	
2137	You won't regret it!	Ви не пошкодуєте!	後悔はさせません！	후회하시지 않을 겁니다!		
2138	Get to work!	До роботи!	さあ仕事に取り掛かりましょう！	바로 일하겠습니다!		
2139	Thank you, boss!	Дякую, босе!	ありがとうございます！	감사합니다, 사장님!		
2140	Collects quirky novelty items.	Ретельність	風変わりなノベルティグッズを集めている。	기발하고 참신한 물건을 수집합니다.	information about the person	
2141	Enjoys building model airplanes.	Захоплюється конструюванням моделей літаків.	模型飛行機作りが趣味。	비행기 프라모델 만드는 게 취미입니다.	information about the person	
2142	Enjoys solo board games.	Захоплюється сольними настільними іграми.	ボードゲームを独りで遊ぶ。	1인 보드게임을 즐겨 합니다.	information about the person	
2143	Has a questionable fashion sense.	Має сумнівне почуття стилю.	ファッションセンスに難あり。	패션 센스가 애매합니다.	information about the person	
2144	Proudly wears mismatched socks.	З гордістю носить шкарпетки, що не пасують одна до одної.	不揃いの靴下を自慢げに履いている。	짝짝이 양말을 자랑스럽게 신고 다닙니다.	information about the person	
2145	Builds intricate puzzle models.	Збирає хитромудрі пазли.	複雑なパズルモデルを構築する。	복잡한 퍼즐 맞추기를 좋아합니다.	information about the person	
2146	Has an odd collection of retro hats.	Має чудернацьку колекцію ретро-капелюхів.	レトロな帽子の一風変わったコレクションを持つ。	괴상한 고전풍 모자 수집품을 모읍니다.	information about the person	
2147	Collects vintage manga.	Колекціонує раритетну мангу.	ヴィンテージ漫画を集めている。	고전 명작 만화책을 수집합니다.	information about the person	
2148	Frequents arcades, yet always secures the lowest score.	Часто грає в аркадні ігри, але завжди отримує найнижчий бал.	ゲームセンターによく行くが、いつも最低スコア。	오락실에 자주 가지만 최저 득점을 책임지고 있습니다.	information about the person	
2149	Finds solace in bonsai trimming.	Знаходить розраду в обрізанні бонсай.	盆栽の剪定に癒しを感じる。	분재를 가꾸며 마음을 수양합니다.	information about the person	
2150	Owns a quirky robot toy collection.	Володіє колекцією чудернацьких іграшок-роботів.	風変わりなロボット玩具のコレクションを持つ。	못생긴 로봇 장난감을 수집합니다.	information about the person	
2151	Enthusiast of classic car restoration.	Захоплюється реставрацією класичних автомобілів.	クラシックカーのレストアに夢中。	클래식 자동차의 수리가 취미입니다.	information about the person	
2152	Silent film buff.	Любить німі фільми.	無声映画マニア。	무성영화를 정말 좋아합니다.	information about the person	
2153	Known to browse antique shops.	Любить ходити по антикварних крамницях.	アンティークショップ巡りで知られる。	골동품 가게를 돌아다니기로 유명합니다.	information about the person	
2154	Collector of old coins.	Колекціонер старовинних монет.	古銭収集家。	오래된 동전을 모읍니다.	information about the person	
2155	Frequents small, quaint cafes.	Відвідує маленькі, чудернацькі кав'ярні.	小さくて趣のあるカフェによく行く。	아담하고 조용한 카페를 즐겨 찾습니다.	information about the person	
2156	"Collects spoons, thinks they're ""extremely underrated."""	"Колекціонує ложки, вважає їх ""надзвичайно недооціненими""."	スプーン収集家、「極めて過小評価されている」と思っている。	스푼을 모으면서 「굉장히 과소평가된 수집품」이라 여깁니다.	information about the person	
